;Aciclovir;AmioDARONA;Anfotericina B**;Anfotericina B complexo lip**;Anfotericina B lipossomal**;Ampicillina+Sulbactam;Anidulafungina;Gluconato de Cálcio;CeFAZolina;Cefepime ;CefTAZidima;Ceftazidima +Avibactam;Ceftriaxona;Ciprofloxacino;Clindamicina;DAPTOmicina;Dexmedetomidina;Dobutamina;DOPamina;EPINEFrina;Esmolol ;FentaNILA;Fluconazol;Escetamina;Levofloxacino;Linezolida;Sulfato de Magnésio;Meropenem;Metronidazol;Micafungina;Midazolam;Milrinona;Morfina;NitroGLICERINA*;NitroPRUSSETO*;NOREPinefrina*;Oxacillina;Piperacilina+ tazobactam;Polymyxina B;Cloreto de Potássio;Fosfato de Potássio;Propofol;Rocuronio;Bicarbonato de Sódio;Tirofiban;Vancomicina;Vasopressina*;Ampicilina ;Alprostadil;NPT (3 em 1);;;;
Sulfato de Magnésio;C;D;D;I;I;C;I;C;D;I;C;C;;I;C;C;C;C;C;C;C;C;C;C;;C;;C;C;C;C;C;C;C;C;C;D;C;C;C;C;D;C;C;C;C;C;C;;C;;;;
Meropenem;D;I;I;I;D;;C;D;C;;C;C;C;I;C;C;C;I;C;C;C;C;C;I;;C;C;;C;;I;C;C;I;C;C;;C;;C;C;;C;C;C;D;C;C;;D;;;;
Metronidazol;C;C;I;I;I;C;C;C;C;C;C;;C;C;C;I;C;C;C;C;C;C;C;C;C;C;C;C;;;C;C;C;C;C;C;;C;C;C;C;I;C;C;C;C;C;C;;D;;;;
Micafungina;;I;;;;;;C;;;;;;;;;;I;C;I;C;;;;I;;C;;;;I;C;I;C;C;C;;;;C;C;;I;;;;C;;;I;;;;
Midazolam;I;C;I;I;I;I;C;C;C;I;I;;C;C;D;C;C;D;C;C;C;C;C;C;C;C;C;I;C;I;;C;C;C;C;C;C;I;C;C;;D;C;I;C;C;C;I;C;D;;;;
Milrinona;C;C;I;I;C;C;C;C;C;C;C;;C;C;C;C;C;C;C;C;I;C;C;C;C;C;C;C;C;C;C;;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;D;;;;;
Morfina;D;C;I;I;I;C;C;C;C;D;C;;C;;C;C;C;C;C;C;C;C;C;;D;C;C;C;C;I;C;C;;C;C;C;C;C;C;C;;D;C;C;C;C;C;C;C;D;;;;
NitroGLICERINA*;C;C;D;C;C;C;C;C;C;;C;;C;;C;I;C;C;C;C;C;C;C;;I;C;C;I;C;C;C;C;C;;C;C;C;C;C;C;;C;C;C;C;C;C;C;;C;;;;
NitroPRUSSETO*;I;D;I;C;C;C;C;C;C;;I;;C;;C;C;C;C;C;C;C;C;C;;I;C;C;C;C;C;C;C;C;C;;C;C;C;C;C;C;C;C;C;C;C;C;;C;C;;;;
NOREPinefrina*;;D;I;I;;C;C;C;C;;C;;C;;C;C;C;C;C;C;C;C;C;;;C;C;C;C;C;C;C;C;C;C;;C;C;C;C;;C;;I;C;C;C;C;D;C;;;;
Oxacillina;C;;I;;;C;;I;C;;C;;C;;C;;;I;C;C;I;C;C;;C;;D;;;;C;C;C;C;C;C;;;I;C;;;;D;;D;C;;;C;;;;
Piperacilina+ tazobactam;I;I;I;C;C;;C;C;;C;C;;;I;C;C;C;I;C;C;C;C;C;C;;C;C;C;C;;I;C;C;C;C;C;;;I;C;C;;I;C;C;D;C;;;C;;;; 
Polymyxina B;C;C;I;I;;C;C;C;C;;C;;C;;D;C;;C;C;C;C;C;C;;;C;C;;C;;C;C;C;C;C;C;I;I;;C;;;;C;C;C;C;C;;;;;;
Cloreto de Potássio;C;D;I;;C;C;C;C;C;;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;;;C;C;C;C;C;C;C;C;C;;;;
Fosfato de Potássio;I;I;;I;I;;I;I;;;;C;;I;;C;C;;;;C;;;I;;C;C;C;C;C;;C;;;C;;;C;;;;;I;;C;;C;;;D;;;;
Propofol;C;;I;;;;;C;C;D;D;;C;I;C;;C;D;D;D;C;C;C;C;I;;D;;I;;D;C;D;C;C;C;;;;C;;;;C;;D;;C;;;;;;
Rocuronio;C;C;I;I;;C;C;C;D;C;C;;C;C;C;C;D;C;C;C;C;C;C;I;C;C;C;C;C;I;C;C;C;C;C;;;I;;C;I;;;C;C;D;C;C;;;;;;
Bicarbonato de Sódio;C;I;I;I;I;C;I;I;C;C;C;;C;D;C;C;C;I;I;C;C;C;C;I;C;C;C;C;C;I;I;C;C;C;;;;C;C;C;;C;C;;C;C;C;C;;C;;;;
Tirofiban;C;C;I;I;;C;C;C;C;C;C;;C;C;C;C;C;C;C;C;C;C;C;;C;C;C;C;C;;C;C;C;C;C;C;;C;C;C;C;;C;C;;C;C;C;;;;;;
Vancomicina;;;I;I;I;D;C;C;D;D;D;;D;C;C;I;C;C;C;C;C;C;C;C;C;C;C;D;C;;C;C;C;C;C;C;D;D;C;C;C;D;D;C;C;;C;D;C;D;;;;
Vasopressina*;C;C;I;I;C;;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;;C;C;C;C;;D;;;;;;
Ampicilina;C;C;I;;;;C;;C;;C;;C;;C;C;C;I;;D;D;C;I;I;C;C;C;C;C;;I;C;C;C;;C;;;C;C;;C;C;C;C;D;D;;C;D;;;;
Alprostadil;;C;;;;;;C;C;;;;;;;;D;C;C;C;;C;;;I;;;;;;C;D;C;;C;D;;;;C;;;;;;C;;C;;;;;;
NPT 3 em 1;I;C;I;;;C;;D;C;D;C;;I;C;C;;C;C;D;;;C;C;;;;C;D;D;I;D;;D;C;C;C;C;C;;C;D;;;C;;D;;D;;;;;;
